,t,f(t)
418,20.900000000000002,[0.69508278]
419,20.950000000000003,[0.50961631]
420,21.0,[0.48053449]
421,21.05,[0.6028761]
422,21.1,[0.297336]
423,21.150000000000002,[0.2150559]
424,21.200000000000003,[0.32193606]
425,21.25,[0.1487433]
426,21.3,[0.16128377]
427,21.35,[0.01249216]
428,21.400000000000002,[-0.05331424]
429,21.450000000000003,[-0.06649819]
430,21.5,[0.10221126]
431,21.55,[0.00703496]
432,21.6,[-0.23869641]
433,21.650000000000002,[-0.43941691]
434,21.700000000000003,[-0.34970847]
435,21.75,[-0.52576342]
436,21.8,[-0.26590621]
437,21.85,[-0.56059956]
438,21.900000000000002,[-0.3522513]
439,21.950000000000003,[-0.56946456]
440,22.0,[-0.66980106]
441,22.05,[-0.59966512]
442,22.1,[-0.68427726]
443,22.150000000000002,[-0.706032]
444,22.200000000000003,[-0.78327914]
445,22.25,[-0.84802545]
446,22.3,[-1.00676293]
447,22.35,[-0.88608611]
448,22.400000000000002,[-1.03765951]
449,22.450000000000003,[-0.98594101]
450,22.5,[-1.08645225]
451,22.55,[-1.07789356]
452,22.6,[-1.09143528]
453,22.650000000000002,[-1.28897229]
454,22.700000000000003,[-1.3125313]
455,22.75,[-1.07668918]
456,22.8,[-1.06484852]
457,22.85,[-1.12081816]
458,22.900000000000002,[-1.12397006]
459,22.950000000000003,[-0.98651606]
460,23.0,[-1.0804693]
461,23.05,[-1.00792058]
462,23.1,[-1.09603247]
463,23.150000000000002,[-1.25456007]
464,23.200000000000003,[-1.27577466]
465,23.25,[-1.11383791]
466,23.3,[-1.13691473]
467,23.35,[-1.04741919]
468,23.400000000000002,[-1.01457602]
469,23.450000000000003,[-0.88315743]
470,23.5,[-0.93836218]
471,23.55,[-0.98661893]
472,23.6,[-0.99737487]
473,23.650000000000002,[-0.95115915]
474,23.700000000000003,[-0.8619523]
475,23.75,[-0.71387883]
476,23.8,[-0.64079238]
477,23.85,[-0.5388853]
478,23.900000000000002,[-0.77023318]
479,23.950000000000003,[-0.65330254]
480,24.0,[-0.62281245]
481,24.05,[-0.42192195]
482,24.1,[-0.39182397]
483,24.150000000000002,[-0.42795406]
484,24.200000000000003,[-0.35240343]
485,24.25,[-0.25041786]
486,24.3,[-0.12482151]
487,24.35,[-0.08121205]
488,24.400000000000002,[-0.09609697]
489,24.450000000000003,[-0.14924855]
490,24.5,[-0.05429117]
491,24.55,[0.12528565]
492,24.6,[-0.0115374]
493,24.650000000000002,[0.03729764]
494,24.700000000000003,[0.03212941]
495,24.75,[0.14831102]
496,24.8,[0.23810166]
497,24.85,[0.38612447]
498,24.900000000000002,[0.46924702]
499,24.950000000000003,[0.47528642]
500,25.0,[0.4316805]
501,25.05,[0.59988966]
502,25.1,[0.63854646]
503,25.150000000000002,[0.56065199]
504,25.200000000000003,[0.6301463]
505,25.25,[0.52547536]
506,25.3,[0.6667691]
507,25.35,[0.5816897]
508,25.400000000000002,[0.61063971]
509,25.450000000000003,[0.63974157]
510,25.5,[0.81675672]
511,25.55,[0.67407811]
512,25.6,[0.88369674]
513,25.650000000000002,[0.98848463]
514,25.700000000000003,[0.79323136]
515,25.75,[0.79336808]
516,25.8,[0.94569147]
517,25.85,[1.03076956]
518,25.900000000000002,[1.04459122]
519,25.950000000000003,[0.80079153]
520,26.0,[0.91627033]
521,26.05,[0.99399648]
522,26.1,[1.08905321]
523,26.150000000000002,[1.02198504]
524,26.200000000000003,[0.99524204]
525,26.25,[0.92472943]
526,26.3,[0.96352345]
527,26.35,[0.85380586]
528,26.400000000000002,[0.96493337]
529,26.450000000000003,[0.91752101]
530,26.5,[0.96510343]
531,26.55,[0.91037353]
532,26.6,[0.74714951]
533,26.650000000000002,[0.75839308]
534,26.700000000000003,[0.6345288]
535,26.75,[0.51042076]
536,26.8,[0.55450722]
537,26.85,[0.50559293]
538,26.900000000000002,[0.62883327]
539,26.950000000000003,[0.65003746]
540,27.0,[0.56984403]
541,27.05,[0.6401902]
542,27.1,[0.58018096]
543,27.150000000000002,[0.44039723]
544,27.200000000000003,[0.43959702]
545,27.25,[0.43517613]
546,27.3,[0.34686575]
547,27.35,[0.3275865]
548,27.400000000000002,[0.23892543]
549,27.450000000000003,[0.16292016]
550,27.5,[0.10535646]
551,27.55,[0.06952952]
552,27.6,[-0.02146402]
553,27.650000000000002,[0.12920116]
554,27.700000000000003,[-0.00694272]
555,27.75,[0.0155396]
556,27.8,[-0.20904495]
557,27.85,[-0.16793743]
558,27.900000000000002,[-0.09756661]
559,27.950000000000003,[-0.17734453]
560,28.0,[-0.1039326]
561,28.05,[-0.33581348]
562,28.1,[-0.42293928]
563,28.150000000000002,[-0.48569065]
564,28.200000000000003,[-0.24788801]
565,28.25,[-0.42299256]
566,28.3,[-0.44725228]
567,28.35,[-0.52305234]
568,28.400000000000002,[-0.43175154]
569,28.450000000000003,[-0.50035629]
570,28.5,[-0.57490619]
571,28.55,[-0.56287971]
572,28.6,[-0.52385002]
573,28.650000000000002,[-0.48002228]
574,28.700000000000003,[-0.60119681]
575,28.75,[-0.70924959]
576,28.8,[-0.82111948]
577,28.85,[-0.82700771]
578,28.900000000000002,[-0.83177565]
579,28.950000000000003,[-0.89887494]
580,29.0,[-0.74828264]
581,29.05,[-0.73595217]
582,29.1,[-0.8351]
583,29.150000000000002,[-0.75539043]
584,29.200000000000003,[-0.73273632]
585,29.25,[-0.70247898]
586,29.3,[-0.88633654]
587,29.35,[-0.60426297]
588,29.400000000000002,[-0.94220147]
589,29.450000000000003,[-0.87166437]
590,29.5,[-0.9132916]
591,29.55,[-0.84681689]
592,29.6,[-0.60525031]
593,29.650000000000002,[-0.79430108]
594,29.700000000000003,[-0.75307387]
595,29.75,[-0.83655134]
596,29.8,[-0.82062675]
597,29.85,[-0.7133743]
598,29.900000000000002,[-0.50182276]
599,29.950000000000003,[-0.626074]
600,30.0,[-0.65198767]
601,30.05,[-0.68507237]
602,30.1,[-0.43368582]
603,30.150000000000002,[-0.66536852]
604,30.200000000000003,[-0.52656335]
605,30.25,[-0.53841611]
606,30.3,[-0.44216608]
607,30.35,[-0.43465863]
608,30.400000000000002,[-0.35328086]
609,30.450000000000003,[-0.27280888]
610,30.5,[-0.25401513]
611,30.55,[-0.0470336]
612,30.6,[-0.09319573]
613,30.650000000000002,[-0.13332477]
614,30.700000000000003,[-0.11776499]
615,30.75,[-0.15816354]
616,30.8,[-0.14980158]
617,30.85,[-0.0451111]
618,30.900000000000002,[0.00334512]
619,30.950000000000003,[0.1249542]
620,31.0,[0.34837048]
621,31.05,[0.29837478]
622,31.1,[0.08529319]
623,31.150000000000002,[0.25468361]
624,31.200000000000003,[0.25703181]
625,31.25,[0.28293014]
626,31.3,[0.30095766]
627,31.35,[0.25713157]
628,31.400000000000002,[0.43815825]
629,31.450000000000003,[0.54736024]
630,31.5,[0.25418062]
631,31.55,[0.52618382]
632,31.6,[0.57266408]
633,31.650000000000002,[0.40036707]
634,31.700000000000003,[0.59012452]
635,31.75,[0.61658703]
636,31.8,[0.61727935]
637,31.85,[0.58945466]
638,31.900000000000002,[0.62797635]
639,31.950000000000003,[0.50244929]
640,32.0,[0.49672402]
641,32.050000000000004,[0.47762664]
642,32.1,[0.59829616]
643,32.15,[0.60711684]
644,32.2,[0.61622763]
645,32.25,[0.82322971]
646,32.300000000000004,[0.77152344]
647,32.35,[0.73123606]
648,32.4,[0.72526]
649,32.45,[0.6011621]
650,32.5,[0.66523845]
651,32.550000000000004,[0.90667201]
652,32.6,[0.57525258]
653,32.65,[0.7168942]
654,32.7,[0.68188047]
655,32.75,[0.58405665]
656,32.800000000000004,[0.68551105]
657,32.85,[0.56222582]
658,32.9,[0.55208661]
659,32.95,[0.61110249]
660,33.0,[0.62437794]
661,33.050000000000004,[0.62214664]
662,33.1,[0.46199937]
663,33.15,[0.48034048]
664,33.2,[0.48100667]
665,33.25,[0.43083283]
666,33.300000000000004,[0.38358194]
667,33.35,[0.34506105]
668,33.4,[0.30808889]
669,33.45,[0.29164218]
670,33.5,[0.28058555]
671,33.550000000000004,[0.04635773]
672,33.6,[0.19389395]
673,33.65,[0.36027129]
674,33.7,[0.206842]
675,33.75,[-0.01301324]
676,33.800000000000004,[0.24956391]
677,33.85,[0.0465982]
678,33.9,[-0.08615856]
679,33.95,[0.09604657]
680,34.0,[-0.0573005]
681,34.050000000000004,[-0.09232937]
682,34.1,[-0.15484363]
683,34.15,[-0.07879121]
684,34.2,[-0.171755]
685,34.25,[-0.27971199]
686,34.300000000000004,[-0.19153553]
687,34.35,[-0.133293]
688,34.4,[-0.3300147]
689,34.45,[-0.22591826]
690,34.5,[-0.22601617]
691,34.550000000000004,[-0.16801059]
692,34.6,[-0.32284199]
693,34.65,[-0.28750848]
694,34.7,[-0.31534617]
695,34.75,[-0.41531137]
696,34.800000000000004,[-0.39778912]
697,34.85,[-0.63399773]
698,34.9,[-0.61292003]
699,34.95,[-0.47242576]
700,35.0,[-0.28559949]
701,35.050000000000004,[-0.74135534]
702,35.1,[-0.55440906]
703,35.15,[-0.68231992]
704,35.2,[-0.21939818]
705,35.25,[-0.51858844]
706,35.300000000000004,[-0.72109218]
707,35.35,[-0.60986816]
708,35.4,[-0.61658493]
709,35.45,[-0.50243108]
710,35.5,[-0.69029357]
711,35.550000000000004,[-0.78076873]
712,35.6,[-0.60004537]
713,35.65,[-0.71285272]
714,35.7,[-0.60628211]
715,35.75,[-0.46415739]
716,35.800000000000004,[-0.54484057]
717,35.85,[-0.56567058]
718,35.9,[-0.45918543]
719,35.95,[-0.58392293]
720,36.0,[-0.43638583]
721,36.050000000000004,[-0.36338181]
722,36.1,[-0.36980337]
723,36.15,[-0.47753061]
724,36.2,[-0.45391513]
725,36.25,[-0.38831199]
726,36.300000000000004,[-0.42716957]
727,36.35,[-0.45223133]
728,36.4,[-0.28217101]
729,36.45,[-0.34129495]
730,36.5,[-0.30280773]
731,36.550000000000004,[-0.26111332]
732,36.6,[-0.35517407]
733,36.65,[-0.10594032]
734,36.7,[-0.25676455]
735,36.75,[-0.18879461]
736,36.800000000000004,[-0.21580404]
737,36.85,[-0.05958966]
738,36.9,[-0.22644884]
739,36.95,[-0.13860529]
740,37.0,[-0.04980756]
741,37.050000000000004,[-0.13650114]
742,37.1,[-0.06912467]
743,37.15,[-0.069282]
744,37.2,[0.14085804]
745,37.25,[0.09582116]
746,37.300000000000004,[0.16987934]
747,37.35,[0.20077159]
748,37.4,[0.11535519]
749,37.45,[0.17495134]
750,37.5,[0.33448101]
751,37.550000000000004,[0.29182281]
752,37.6,[0.32056368]
753,37.65,[0.31511461]
